OrderNumber,OrderId,TrackingNo,ProductName,VariationName,Price,Quantity
1,SPEPH029416480274,220413FYXHPPD3,[1] Hotdog Pillowcase Canadian Cotton for Large Bolster,Adventure monstera:(L)Hotdog pillowcase,79,1
1,SPEPH029416480274,220413FYXHPPD3,[2] Bargain Murang Bedsheet Single Albm2,Cat yarn:1pc pillowcase,45,3
1,SPEPH029416480274,220413FYXHPPD3,[3] Bargain Murang Bedsheet Single Albm2,Cat yarn:Single bedsheet,130,1
2,SPEPH024757593074,220413FYCTJGRX,[1] Bargain Murang Single Bedsheet 36x75 in,Victorian violet:Single Bedsheet,130,1
3,SPEPH028147486814,220413FX95VYE9,[1] Bargain Murang Single Bedsheet 36x75 in,Victorian violet:1pc pillowcase,45,2
3,SPEPH028147486814,220413FX95VYE9,[2] Bargain Murang Single Bedsheet 36x75 in,Victorian violet:Single Bedsheet,130,1
3,SPEPH028147486814,220413FX95VYE9,[3] Bargain Murang Single Bedsheet 36x75 in,Victorian brown:1pc pillowcase,45,2
3,SPEPH028147486814,220413FX95VYE9,[4] Bargain Murang Single Bedsheet 36x75 in,Victorian brown:Single Bedsheet,135,1
4,SPEPH024559198534,220413FNN36XFJ,[1] Baby Prints Pillowcase 18x28 Punda - Cartoon Characters,Peppa pig,40,1
4,SPEPH024559198534,220413FNN36XFJ,[2] Baby Prints Pillowcase 18x28 Punda - Cartoon Characters,Toy story,35,1
4,SPEPH024559198534,220413FNN36XFJ,[3] Bargain Pillowcase with Zipper - Punda 16x26 inches,Shorty Blue lines:16x26,35,3
4,SPEPH024559198534,220413FNN36XFJ,[4] Bargain Pillowcase with Zipper - Punda 16x26 inches,Jasmine Blue:16x26,35,2
4,SPEPH024559198534,220413FNN36XFJ,[5] Bargain Murang Single Bedsheet 36x75 in,Sampague blue:Single Bedsheet,135,1
4,SPEPH024559198534,220413FNN36XFJ,[6] Bargain Murang Bedsheet Single Aesthetic,Blue gold triangle:Single bedsheet,125,1
5,SPEPH022987799164,220413FJ1C0HRE,[1] Bargain Murang Bedsheet Single Albm2,Happy rabbit:Single bedsheet,130,1
5,SPEPH022987799164,220413FJ1C0HRE,[2] Bargain Murang Bedsheet Single Albm2,Happy rabbit:1pc pillowcase,45,2
6,SPEPH023031707594,220413FE4A2VNR,[1] Shorts Pambahay for Men and Women,Mens Stripes,37,7
7,SPEPH027114339594,220413FD6S7BXS,[1] Lababo Curtain / Kitchen Curtain Gathered,Moroccan blue:Lababo Curtain (55),55,2
8,SPEPH024733525474,220413F9WJVVQX,[1] Bargain Murang Bedsheet Single Albm2,Silver feather:Single bedsheet,130,1
